--- source : https://socket.dev/blog/antv-packages-compromised#Affected-Packages ---

@antv/g-webgl (v2.2.1, v2.3.1)
@antv/g-webgl-compute (v0.1.1, v0.2.1)
@antv/g-webgpu (v2.2.1, v2.3.1)
@antv/g-webgpu-compiler (v0.8.2, v0.9.2)
@antv/g-webgpu-core (v0.8.2, v0.9.2)
@antv/g-webgpu-engine (v0.8.2, v0.9.2)
@antv/g-webgpu-raytracer (v0.6.1, v0.7.1)
@antv/g-webgpu-unitchart (v0.6.1, v0.7.1)
@antv/g2 (v5.5.8, v5.6.8)
@antv/g2-brush (v0.1.2, v0.2.2)
@antv/g2-extension-3d (v0.3.0, v0.4.0)
@antv/g2-extension-ava (v0.3.0, v0.4.0)
@antv/g2-extension-plot (v0.3.2, v0.4.2)
@antv/g2-plugin-slider (v2.2.1, v2.3.1)
@antv/g2-ssr (v0.3.0, v0.4.0)
@antv/g2plot (v2.5.35, v2.6.35)
@antv/g2plot-schemas (v1.3.2, v1.4.2)
@antv/g6 (v5.2.1, v5.3.1)
@antv/g6-alipay (v0.1.1, v0.2.1)
@antv/g6-cli (v0.1.4, v0.2.4)
@antv/g6-core (v0.10.24, v0.9.24)
@antv/g6-editor (v1.3.0, v1.4.0)
@antv/g6-element (v0.10.25, v0.9.25)
@antv/g6-extension-3d (v0.2.23, v0.3.23)
@antv/g6-extension-react (v0.3.7, v0.4.7)
@antv/g6-mobile (v0.2.2, v0.3.2)
@antv/g6-pc (v0.10.25, v0.9.25)
@antv/g6-plugin (v0.10.25, v0.9.25)
@antv/g6-plugin-map-view (v0.1.4, v0.2.4)
@antv/g6-plugins (v1.1.9, v1.2.9)
@antv/g6-react-node (v1.5.8, v1.6.8)
@antv/g6-ssr (v0.2.1, v0.3.1)
@antv/g6-wx (v0.1.1, v0.2.1)
@antv/gatsby-theme (v0.2.0, v0.3.0)
@antv/geo-coord (v1.1.8, v1.2.8)
@antv/gi-assets-advance (v2.6.22, v2.7.22)
@antv/gi-assets-algorithm (v2.4.19, v2.5.19)
@antv/gi-assets-basic (v2.5.40, v2.6.40)
@antv/gi-assets-galaxybase (v1.3.15, v1.4.15)
@antv/gi-assets-graphscope (v2.2.15, v2.3.15)
@antv/gi-assets-hugegraph (v1.2.15, v1.3.15)
@antv/gi-assets-janusgraph (v1.2.15, v1.3.15)
@antv/gi-assets-neo4j (v2.2.15, v2.3.15)
@antv/gi-assets-scene (v2.3.21, v2.4.21)
@antv/gi-assets-tugraph (v2.2.15, v2.3.15)
@antv/gi-assets-tugraph-analytics (v0.3.15, v0.4.15)
@antv/gi-assets-xlab (v0.2.30, v0.3.30)
@antv/gi-cli (v1.3.11, v1.4.11)
@antv/gi-common-components (v1.4.16, v1.5.16)
@antv/gi-mock-data (v1.1.5, v1.2.5)
@antv/gi-public-data (v1.1.1, v1.2.1)
@antv/gi-sdk (v3.1.0, v3.2.0)
@antv/gi-sdk-app (v1.3.10, v1.4.10)
@antv/gi-theme-antd (v0.7.11, v0.8.11)
@antv/github-config-cli (v0.2.0, v0.3.0)
@antv/gl-matrix (v2.8.1, v2.9.1)
@antv/gpt-vis (v1.1.0, v1.2.0)
@antv/gpt-vis-ssr (v0.4.7, v0.5.7)
@antv/graphin (v3.1.5, v3.2.5)
@antv/graphin-components (v2.5.1, v2.6.1)
@antv/graphin-graphscope (v1.1.5, v1.2.5)
@antv/graphin-icons (v1.1.0, v1.2.0)
@antv/graphlib (v2.1.4, v2.2.4)
@antv/hierarchy (v0.8.1, v0.9.1)
@antv/infographic (v0.3.19, v0.4.19)
@antv/insight-component (v1.1.0, v1.2.0)
@antv/interaction (v0.2.5, v0.3.5)
@antv/istanbul (v0.1.0, v0.2.0)
@antv/knowledge (v1.2.4, v1.3.4)
@antv/l7 (v2.26.10, v2.27.10)
@antv/l7-component (v2.26.10, v2.27.10)
@antv/l7-composite-layers (v0.18.1, v0.19.1)
@antv/l7-core (v2.26.10, v2.27.10)
@antv/l7-district (v2.4.12, v2.5.12)
@antv/l7-draw (v3.2.5, v3.3.5)
@antv/l7-editor (v1.2.13, v1.3.13)
@antv/l7-extension-g-layer (v1.1.0, v1.2.0)
@antv/l7-layers (v2.26.10, v2.27.10)
@antv/l7-leaflet (v1.1.2, v1.2.2)
@antv/l7-map (v2.26.10, v2.27.10)
@antv/l7-mapkit (v0.6.0, v0.7.0)
@antv/l7-maps (v2.26.10, v2.27.10)
@antv/l7-mini (v2.21.8, v2.22.8)
@antv/l7-pass (v1.1.0, v1.2.0)
@antv/l7-react (v2.5.3, v2.6.3)
@antv/l7-renderer (v2.26.10, v2.27.10)
@antv/l7-scene (v2.26.10, v2.27.10)
@antv/l7-source (v2.26.10, v2.27.10)
@antv/l7-three (v2.26.10, v2.27.10)
@antv/l7-utils (v2.26.10, v2.27.10)
@antv/l7plot (v0.6.11, v0.7.11)
@antv/l7plot-component (v0.1.11, v0.2.11)
@antv/larkmap (v1.6.1, v1.7.1)
@antv/layout-gpu (v1.2.7, v1.3.7)
@antv/layout-wasm (v1.5.2, v1.6.2)
@antv/li-aiearth-assets (v0.5.7, v0.6.7)
@antv/li-analysis-assets (v1.10.1, v1.11.1)
@antv/li-core-assets (v1.4.7, v1.5.7)
@antv/li-editor (v1.7.1, v1.8.1)
@antv/li-p2 (v1.10.2, v1.9.2)
@antv/li-sam-assets (v0.2.4, v0.3.4)
@antv/li-sdk (v1.6.1, v1.7.1)
@antv/lite-insight (v2.2.1, v2.3.1)
@antv/matrix-util (v3.1.4, v3.2.4)
@antv/mcp-server-antv (v0.2.8, v0.3.8)
@antv/mcp-server-chart (v0.10.10, v0.11.10)
@antv/my-f2 (v2.2.7, v2.3.7)
@antv/my-f2-pc (v0.2.1, v0.3.1)
@antv/narrative-text-editor (v0.3.20, v0.4.20)
@antv/narrative-text-schema (v0.4.7, v0.5.7)
@antv/narrative-text-vis (v0.4.16, v0.5.16)
@antv/path-util (v3.1.1, v3.2.1)
@antv/react-g (v2.2.1, v2.3.1)
@antv/s2 (v2.8.1, v2.9.1)
@antv/s2-react (v2.4.1, v2.5.1)
@antv/s2-react-components (v2.2.2, v2.3.2)
@antv/s2-ssr (v0.2.1, v0.3.1)
@antv/s2-vue (v2.3.0, v2.4.0)
@antv/sam (v0.3.0, v0.4.0)
@antv/scale (v0.6.2, v0.7.2)
@antv/semantic-release-pnpm (v1.1.4, v1.2.4)
@antv/smart-color (v0.3.1, v0.4.1)
@antv/stat (v0.1.2, v0.2.2)
@antv/t8 (v0.4.0, v0.5.0)
@antv/thumbnails (v2.1.0, v2.2.0)
@antv/thumbnails-component (v2.1.0, v2.2.0)
@antv/torch (v1.1.6, v1.2.6)
@antv/translator (v1.1.1, v1.2.1)
@antv/util (v3.4.11, v3.5.11)
@antv/vendor (v1.1.11, v1.2.11)
@antv/vis-predict-engine (v0.2.1, v0.3.1)
@antv/webgpu-graph (v1.1.0, v1.2.0)
@antv/word-scale-chart (v0.4.4, v0.5.4)
@antv/wx-f2 (v2.2.1, v2.3.1)
@antv/x6 (v3.2.7, v3.3.7)
@antv/x6-angular-shape (v3.1.1, v3.2.1)
@antv/x6-common (v2.1.17, v2.2.17)
@antv/x6-components (v0.11.7, v0.12.7)
@antv/x6-geometry (v2.1.5, v2.2.5)
@antv/x6-plugin-clipboard (v2.2.6, v2.3.6)
@antv/x6-plugin-dnd (v2.2.1, v2.3.1)
@antv/x6-plugin-export (v2.2.6, v2.3.6)
@antv/x6-plugin-history (v2.3.4, v2.4.4)
@antv/x6-plugin-keyboard (v2.3.3, v2.4.3)
@antv/x6-plugin-minimap (v2.1.7, v2.2.7)
@antv/x6-plugin-scroller (v2.1.10, v2.2.10)
@antv/x6-plugin-selection (v2.3.2, v2.4.2)
@antv/x6-plugin-snapline (v2.2.7, v2.3.7)
@antv/x6-plugin-stencil (v2.2.5, v2.3.5)
@antv/x6-plugin-transform (v2.2.8, v2.3.8)
@antv/x6-react (v0.2.26, v0.3.26)
@antv/x6-react-components (v2.1.9, v2.2.9)
@antv/x6-react-shape (v3.1.1, v3.2.1)
@antv/x6-vector (v1.5.2, v1.6.2)
@antv/x6-vue-shape (v3.1.2, v3.2.2)
@antv/x6-vue3-shape (v1.1.0, v1.2.0)
@antv/xflow (v2.2.13, v2.3.13)
@antv/xflow-core (v1.1.55, v1.2.55)
@antv/xflow-diff (v1.1.0, v1.2.0)
@antv/xflow-extension (v1.1.55, v1.2.55)
@antv/xflow-hook (v1.1.55, v1.2.55)
@beproduct/nestjs-auth (v0.1.10, v0.1.11, v0.1.12, v0.1.13, v0.1.14, v0.1.15, v0.1.16, v0.1.17, v0.1.18, v0.1.19, v0.1.2, v0.1.3, v0.1.4, v0.1.5, v0.1.6, v0.1.7, v0.1.8, v0.1.9)
@cap-js/db-service (v2.10.1)
@cap-js/postgres (v2.2.2)
@cap-js/sqlite (v2.2.2)
@dirigible-ai/sdk (v0.6.2, v0.6.3)
@draftauth/client (v0.2.1, v0.2.2)
@draftauth/core (v0.13.1, v0.13.2)
@draftlab/auth (v0.24.1, v0.24.2)
@draftlab/auth-router (v0.5.1, v0.5.2)
@draftlab/db (v0.16.1, v0.16.2)
@lint-md/cli (v2.1.0, v2.2.0)
@lint-md/core (v2.1.0, v2.2.0)
@lint-md/parser (v0.1.14, v0.2.14)
@mesadev/rest (v0.28.3)
@mesadev/saguaro (v0.4.22)
@mesadev/sdk (v0.28.3)
@mistralai/mistralai (v2.2.2, v2.2.3, v2.2.4)
@mistralai/mistralai-azure (v1.7.1, v1.7.2, v1.7.3)
@mistralai/mistralai-gcp (v1.7.1, v1.7.2, v1.7.3)
@ml-toolkit-ts/preprocessing (v1.0.2, v1.0.3)
@ml-toolkit-ts/xgboost (v1.0.3, v1.0.4)
@openclaw-cn/cli (v1.4.1)
@openclaw-cn/feishu (v0.2.11)
@openclaw-cn/libsignal (v2.1.1)
@openclaw-cn/toutiao-ops (v1.2.4)
@opensearch-project/opensearch (v3.5.3, v3.6.2, v3.7.0, v3.8.0)
@squawk/airport-data (v0.7.4, v0.7.5, v0.7.6, v0.7.7, v0.7.8)
@squawk/airports (v0.6.2, v0.6.3, v0.6.4, v0.6.5, v0.6.6)
@squawk/airspace (v0.8.1, v0.8.2, v0.8.3, v0.8.4, v0.8.5)
@squawk/airspace-data (v0.5.3, v0.5.4, v0.5.5, v0.5.6, v0.5.7)
@squawk/airway-data (v0.5.4, v0.5.5, v0.5.6, v0.5.7, v0.5.8)
@squawk/airways (v0.4.2, v0.4.3, v0.4.4, v0.4.5, v0.4.6)
@squawk/fix-data (v0.6.4, v0.6.5, v0.6.6, v0.6.7, v0.6.8)
@squawk/fixes (v0.3.2, v0.3.3, v0.3.4, v0.3.5, v0.3.6)
@squawk/flight-math (v0.5.4, v0.5.5, v0.5.6, v0.5.7, v0.5.8)
@squawk/flightplan (v0.5.2, v0.5.3, v0.5.4, v0.5.5, v0.5.6)
@squawk/geo (v0.4.4, v0.4.5, v0.4.6, v0.4.7, v0.4.8)
@squawk/icao-registry (v0.5.2, v0.5.3, v0.5.4, v0.5.5, v0.5.6)
@squawk/icao-registry-data (v0.8.4, v0.8.5, v0.8.6, v0.8.7, v0.8.8)
@squawk/mcp (v0.9.1, v0.9.2, v0.9.3, v0.9.4, v0.9.5)
@squawk/navaid-data (v0.6.4, v0.6.5, v0.6.6, v0.6.7, v0.6.8)
@squawk/navaids (v0.4.2, v0.4.3, v0.4.4, v0.4.5, v0.4.6)
@squawk/notams (v0.3.10, v0.3.6, v0.3.7, v0.3.8, v0.3.9)
@squawk/procedure-data (v0.7.3, v0.7.4, v0.7.5, v0.7.6, v0.7.7)
@squawk/procedures (v0.5.2, v0.5.3, v0.5.4, v0.5.5, v0.5.6)
@squawk/types (v0.8.1, v0.8.2, v0.8.3, v0.8.4, v0.8.5)
@squawk/units (v0.4.3, v0.4.4, v0.4.5, v0.4.6, v0.4.7)
@squawk/weather (v0.5.10, v0.5.6, v0.5.7, v0.5.8, v0.5.9)
@starmind/collector-cli (v0.3.10)
@supersurkhet/cli (v0.0.2, v0.0.3, v0.0.4, v0.0.5, v0.0.6, v0.0.7)
@supersurkhet/sdk (v0.0.2, v0.0.3, v0.0.4, v0.0.5, v0.0.6, v0.0.7)
@tallyui/components (v1.0.1, v1.0.2, v1.0.3)
@tallyui/connector-medusa (v1.0.1, v1.0.2, v1.0.3)
@tallyui/connector-shopify (v1.0.1, v1.0.2, v1.0.3)
@tallyui/connector-vendure (v1.0.1, v1.0.2, v1.0.3)
@tallyui/connector-woocommerce (v1.0.1, v1.0.2, v1.0.3)
@tallyui/core (v0.2.1, v0.2.2, v0.2.3)
@tallyui/database (v1.0.1, v1.0.2, v1.0.3)
@tallyui/pos (v0.1.1, v0.1.2, v0.1.3)
@tallyui/storage-sqlite (v0.2.1, v0.2.2, v0.2.3)
@tallyui/theme (v0.2.1, v0.2.2, v0.2.3)
@tanstack/arktype-adapter (v1.166.12, v1.166.15)
@tanstack/eslint-plugin-router (v1.161.12, v1.161.9)
@tanstack/eslint-plugin-start (v0.0.4, v0.0.7)
@tanstack/history (v1.161.12, v1.161.9)
@tanstack/nitro-v2-vite-plugin (v1.154.12, v1.154.15)
@tanstack/react-router (v1.169.5, v1.169.8)
@tanstack/react-router-devtools (v1.166.16, v1.166.19)
@tanstack/react-router-ssr-query (v1.166.15, v1.166.18)
@tanstack/react-start (v1.167.68, v1.167.71)
@tanstack/react-start-client (v1.166.51, v1.166.54)
@tanstack/react-start-rsc (v0.0.47, v0.0.50)
@tanstack/react-start-server (v1.166.55, v1.166.58)
@tanstack/router-cli (v1.166.46, v1.166.49)
@tanstack/router-core (v1.169.5, v1.169.8)
